Avg. sheep,Avg. wolves
261.61386138613864,67.38613861386139
252.05940594059405,97.06930693069307
347.86138613861385,68.1980198019802
182.30693069306932,51.960396039603964
262.0,75.84158415841584
286.66336633663366,93.53465346534654
198.44554455445544,126.24752475247524
171.86138613861385,169.76237623762376
158.76237623762376,109.4059405940594
213.76237623762376,276.6237623762376
181.47524752475246,171.1881188118812
167.95049504950495,107.88118811881188
262.5940594059406,87.67326732673267
168.56435643564356,168.93069306930693
96.76237623762377,47.81188118811881
95.16831683168317,41.59405940594059
75.53465346534654,23.485148514851485
167.9108910891089,241.78217821782178
93.98019801980197,52.37623762376238
90.82178217821782,30.08910891089109
105.14851485148515,23.99009900990099
213.15841584158414,81.74257425742574
257.7821782178218,94.68316831683168
54.475247524752476,35.613861386138616
238.5049504950495,74.85148514851485
232.009900990099,100.33663366336634
105.62376237623762,174.02970297029702
219.5049504950495,84.57425742574257
